county	state	county_comfired	county_new	Death	County_deaths_new	Fatality_ratio
Hood	Texas	17	0	3	0	17.6%
Medina	Texas	17	0	2	0	11.8%
Anderson	Texas	16	0	0	0	0%
Hale	Texas	16	0	4	0	25%
Fayette	Texas	15	0	0	0	0%
Kendall	Texas	15	0	0	0	0%
Maverick	Texas	15	0	0	0	0%
San Augustine	Texas	15	0	1	0	6.7%
Atascosa	Texas	14	0	1	0	7.1%
Burnet	Texas	14	0	0	0	0%
De Witt	Texas	14	0	1	0	7.1%
Hill	Texas	14	0	1	0	7.1%
Jasper	Texas	14	0	1	0	7.1%
Wise	Texas	14	0	2	0	14.3%
Cass	Texas	13	0	0	0	0%
Castro	Texas	13	0	1	0	7.7%
Erath	Texas	13	0	1	0	7.7%
Fannin	Texas	13	0	0	0	0%
Milam	Texas	13	0	0	0	0%
Van Zandt	Texas	13	0	1	0	7.7%
Austin	Texas	12	0	0	0	0%
Cherokee	Texas	12	0	1	0	8.3%
Upshur	Texas	12	0	0	0	0%
Val Verde	Texas	12	0	0	0	0%
Titus	Texas	12	0	0	0	0%
Burleson	Texas	11	0	0	0	0%
Limestone	Texas	11	0	1	0	9.1%
San Patricio	Texas	11	0	0	0	0%
Caldwell	Texas	10	0	0	0	0%
Colorado	Texas	10	0	0	0	0%
Grimes	Texas	10	0	1	0	10%
San Jacinto	Texas	10	0	0	0	0%
Terry	Texas	10	0	0	0	0%
Willacy	Texas	10	0	1	0	10%
Sherman	Texas	10	0	0	0	0%
Hutchinson	Texas	9	0	0	0	0%
Lamar	Texas	8	0	0	0	0%
Trinity	Texas	8	0	0	0	0%
Kleberg	Texas	7	0	1	0	14.3%
Starr	Texas	7	0	0	0	0%
Wood	Texas	7	0	0	0	0%
Palo Pinto	Texas	7	0	1	0	14.3%
Zapata	Texas	7	0	0	0	0%
Blanco	Texas	6	0	0	0	0%
Camp	Texas	6	0	0	0	0%
Jackson	Texas	6	0	0	0	0%
Montague	Texas	6	0	1	0	16.7%
Swisher	Texas	6	0	0	0	0%
Tyler	Texas	6	0	0	0	0%
Uvalde	Texas	6	0	0	0	0%
Goliad	Texas	6	0	0	0	0%
Pecos	Texas	6	0	0	0	0%
Bee	Texas	6	0	0	0	0%
Marion	Texas	6	0	0	0	0%
Kerr	Texas	5	0	0	0	0%
Lavaca	Texas	5	0	0	0	0%
Leon	Texas	5	0	0	0	0%
Live Oak	Texas	5	0	0	0	0%
Lynn	Texas	5	0	1	0	20%
Morris	Texas	5	0	0	0	0%
Hamilton	Texas	5	0	0	0	0%
Comanche	Texas	4	0	0	0	0%
Gonzales	Texas	4	0	0	0	0%
Hopkins	Texas	4	0	0	0	0%
Young	Texas	4	0	1	0	25%
Bandera	Texas	4	0	0	0	0%
Jones	Texas	4	0	0	0	0%
Jack	Texas	4	0	0	0	0%
Cooke	Texas	4	0	0	0	0%
Houston	Texas	4	0	0	0	0%
Clay	Texas	3	0	0	0	0%
Eastland	Texas	3	0	0	0	0%
Karnes	Texas	3	0	0	0	0%
Llano	Texas	3	0	0	0	0%
Oldham	Texas	3	0	1	0	33.3%
Dallam	Texas	3	0	1	0	33.3%
Floyd	Texas	3	0	0	0	0%
McCulloch	Texas	3	0	0	0	0%
Winkler	Texas	3	0	0	0	0%
Bosque	Texas	3	0	0	0	0%
Freestone	Texas	3	0	0	0	0%
Parmer	Texas	3	0	0	0	0%
Aransas	Texas	2	0	0	0	0%
Crane	Texas	2	0	0	0	0%
Gaines	Texas	2	0	0	0	0%
Lamb	Texas	2	0	0	0	0%
Martin	Texas	2	0	0	0	0%
Newton	Texas	2	0	0	0	0%
Robertson	Texas	2	0	0	0	0%
Jim Wells	Texas	2	0	0	0	0%
Lee	Texas	2	0	0	0	0%
Reeves	Texas	2	0	0	0	0%
Lampasas	Texas	2	0	0	0	0%
Hansford	Texas	2	0	0	0	0%
Madison	Texas	2	0	0	0	0%
Rains	Texas	2	0	0	0	0%
Howard	Texas	2	0	1	0	50%
Scurry	Texas	2	0	0	0	0%
Roberts	Texas	2	0	0	0	0%
Hartley	Texas	2	0	0	0	0%
Falls	Texas	1	0	0	0	0%
Franklin	Texas	1	0	0	0	0%
Gillespie	Texas	1	0	0	0	0%
Hemphill	Texas	1	0	0	0	0%
Mason	Texas	1	0	0	0	0%
Crosby	Texas	1	0	1	0	100%
Callahan	Texas	1	0	0	0	0%
Knox	Texas	1	0	0	0	0%
Mitchell	Texas	1	0	0	0	0%
Dickens	Texas	1	0	0	0	0%
Frio	Texas	1	0	0	0	0%
Delta	Texas	1	0	0	0	0%
Concho	Texas	1	0	0	0	0%
Stephens	Texas	1	0	0	0	0%
Dimmit	Texas	1	0	0	0	0%
Motley	Texas	1	0	0	0	0%
Armstrong	Texas	1	0	0	0	0%
Duval	Texas	1	0	0	0	0%
Wilbarger	Texas	1	0	0	0	0%
La Salle	Texas	1	0	0	0	0%
Red River	Texas	1	0	0	0	0%
Sabine	Texas	1	0	0	0	0%
Zavala	Texas	1	0	0	0	0%
Carson	Texas	1	0	0	0	0%
Childress	Texas	1	0	0	0	0%
Yoakum	Texas	1	0	0	0	0%
Brooks	Texas	1	0	0	0	0%
Wheeler	Texas	1	0	0	0	0%
Cochran	Texas	1	0	0	0	0%
Jim Hogg	Texas	1	0	0	0	0%
Fulton	Georgia	2,436	0	88	0	3.6%
DeKalb	Georgia	1,689	0	34	0	2%
Dougherty	Georgia	1,478	0	109	0	7.4%
Gwinnett	Georgia	1,351	0	46	0	3.4%
Cobb	Georgia	1,326	0	66	0	5%
Non-Georgia Resident	Georgia	978	0	10	0	1%
Hall	Georgia	963	0	9	0	0.9%
Clayton	Georgia	616	0	21	0	3.4%
Henry	Georgia	413	0	10	0	2.4%
Cherokee	Georgia	365	0	10	0	2.7%
Unassigned	Georgia	361	0	0	0	0%
Sumter	Georgia	344	0	21	0	6.1%
Richmond	Georgia	335	0	14	0	4.2%
Carroll	Georgia	314	0	11	0	3.5%
Lee	Georgia	298	0	19	0	6.4%
Mitchell	Georgia	290	0	24	0	8.3%
Douglas	Georgia	273	0	8	0	2.9%
Bartow	Georgia	264	0	27	0	10.2%
Muscogee	Georgia	256	0	4	0	1.6%
Forsyth	Georgia	235	0	8	0	3.4%
Bibb	Georgia	234	0	5	0	2.1%
Chatham	Georgia	199	0	6	0	3%
Houston	Georgia	194	0	13	0	6.7%
Upson	Georgia	191	0	14	0	7.3%
Early	Georgia	185	0	15	0	8.1%
Coweta	Georgia	177	0	4	0	2.3%
Colquitt	Georgia	163	0	6	0	3.7%
Terrell	Georgia	162	0	18	0	11.1%
Baldwin	Georgia	161	0	4	0	2.5%
Thomas	Georgia	158	0	16	0	10.1%
Fayette	Georgia	156	0	8	0	5.1%
Newton	Georgia	153	0	5	0	3.3%
Rockdale	Georgia	151	0	6	0	4%
Habersham	Georgia	149	0	3	0	2%
Randolph	Georgia	149	0	18	0	12.1%
Paulding	Georgia	148	0	7	0	4.7%
Worth	Georgia	142	0	9	0	6.3%
Crisp	Georgia	141	0	2	0	1.4%
Spalding	Georgia	140	0	8	0	5.7%
Columbia	Georgia	129	0	2	0	1.6%
Floyd	Georgia	128	0	8	0	6.3%
Butts	Georgia	126	0	2	0	1.6%
Lowndes	Georgia	125	0	4	0	3.2%
Clarke	Georgia	122	0	13	0	10.7%
Troup	Georgia	118	0	4	0	3.4%
Barrow	Georgia	106	0	3	0	2.8%
Ware	Georgia	100	0	7	0	7%
Tift	Georgia	98	0	3	0	3.1%
Coffee	Georgia	91	0	4	0	4.4%
Calhoun	Georgia	82	0	3	0	3.7%
Dooly	Georgia	81	0	7	0	8.6%
Walton	Georgia	81	0	3	0	3.7%
Gordon	Georgia	73	0	10	0	13.7%
Jackson	Georgia	69	0	1	0	1.4%
Macon	Georgia	66	0	2	0	3%
Wilcox	Georgia	64	0	6	0	9.4%
Decatur	Georgia	61	0	1	0	1.6%
Turner	Georgia	61	0	6	0	9.8%
Burke	Georgia	60	0	3	0	5%
Walker	Georgia	59	0	0	0	0%
Whitfield	Georgia	59	0	4	0	6.8%
Harris	Georgia	55	0	2	0	3.6%
Oconee	Georgia	54	0	0	0	0%
Glynn	Georgia	51	0	1	0	2%
Pierce	Georgia	51	0	2	0	3.9%
Dawson	Georgia	50	0	1	0	2%
Appling	Georgia	49	0	3	0	6.1%
Greene	Georgia	49	0	1	0	2%
Meriwether	Georgia	49	0	0	0	0%
Stephens	Georgia	48	0	1	0	2.1%
Grady	Georgia	47	0	3	0	6.4%
Laurens	Georgia	46	0	1	0	2.2%
Catoosa	Georgia	45	0	0	0	0%
Bryan	Georgia	43	0	2	0	4.7%
Mcduffie	Georgia	39	0	4	0	10.3%
Johnson	Georgia	38	0	1	0	2.6%
Pike	Georgia	38	0	2	0	5.3%
Brooks	Georgia	37	0	6	0	16.2%
Oglethorpe	Georgia	36	0	3	0	8.3%
Peach	Georgia	36	0	2	0	5.6%
Polk	Georgia	36	0	0	0	0%
White	Georgia	36	0	0	0	0%
Liberty	Georgia	35	0	0	0	0%
Marion	Georgia	34	0	1	0	2.9%
Bulloch	Georgia	33	0	2	0	6.1%
Effingham	Georgia	33	0	1	0	3%
Lamar	Georgia	31	0	0	0	0%
Putnam	Georgia	29	0	2	0	6.9%
Camden	Georgia	28	0	1	0	3.6%
Gilmer	Georgia	28	0	0	0	0%
Lumpkin	Georgia	28	0	0	0	0%
Washington	Georgia	28	0	1	0	3.6%
Seminole	Georgia	27	0	2	0	7.4%
Wilkinson	Georgia	27	0	2	0	7.4%
Haralson	Georgia	26	0	1	0	3.8%
Miller	Georgia	26	0	0	0	0%
Morgan	Georgia	25	0	0	0	0%
Union	Georgia	25	0	1	0	4%
Jones	Georgia	24	0	0	0	0%
Toombs	Georgia	23	0	3	0	13%
Dodge	Georgia	22	0	0	0	0%
Wilkes	Georgia	22	0	0	0	0%
Ben Hill	Georgia	21	0	0	0	0%
Talbot	Georgia	21	0	1	0	4.8%
Bacon	Georgia	20	0	1	0	5%
Clay	Georgia	20	0	2	0	10%
Fannin	Georgia	20	0	0	0	0%
Pulaski	Georgia	20	0	1	0	5%
Brantley	Georgia	20	0	2	0	10%
Baker	Georgia	19	0	2	0	10.5%
Jasper	Georgia	19	0	0	0	0%
Madison	Georgia	19	0	1	0	5.3%
Murray	Georgia	19	0	0	0	0%
Pickens	Georgia	19	0	2	0	10.5%
Towns	Georgia	19	0	0	0	0%
Monroe	Georgia	18	0	1	0	5.6%
Banks	Georgia	17	0	0	0	0%
Emanuel	Georgia	17	0	0	0	0%
Irwin	Georgia	17	0	1	0	5.9%
Stewart	Georgia	17	0	0	0	0%
Franklin	Georgia	16	0	0	0	0%
Schley	Georgia	16	0	1	0	6.3%
Telfair	Georgia	16	0	0	0	0%
Cook	Georgia	15	0	1	0	6.7%
Dade	Georgia	15	0	1	0	6.7%
Jenkins	Georgia	15	0	1	0	6.7%
Screven	Georgia	14	0	1	0	7.1%
Taylor	Georgia	14	0	2	0	14.3%
Elbert	Georgia	14	0	0	0	0%
Crawford	Georgia	14	0	0	0	0%
Hancock	Georgia	14	0	0	0	0%
Berrien	Georgia	12	0	0	0	0%
Jefferson	Georgia	12	0	1	0	8.3%
Warren	Georgia	12	0	0	0	0%
Chattooga	Georgia	11	0	1	0	9.1%
Lincoln	Georgia	10	0	0	0	0%
Wayne	Georgia	10	0	0	0	0%
Heard	Georgia	9	0	1	0	11.1%
Jeff Davis	Georgia	9	0	1	0	11.1%
Rabun	Georgia	9	0	0	0	0%
Chattahoochee	Georgia	8	0	0	0	0%
Bleckley	Georgia	7	0	0	0	0%
Candler	Georgia	7	0	0	0	0%
Charlton	Georgia	7	0	0	0	0%
Clinch	Georgia	7	0	0	0	0%
Webster	Georgia	7	0	0	0	0%
Lanier	Georgia	7	0	1	0	14.3%
Atkinson	Georgia	7	0	0	0	0%
Hart	Georgia	6	0	0	0	0%
Tattnall	Georgia	6	0	0	0	0%
Twiggs	Georgia	6	0	0	0	0%
Echols	Georgia	5	0	0	0	0%
Mcintosh	Georgia	4	0	0	0	0%
Evans	Georgia	4	0	0	0	0%
Wheeler	Georgia	3	0	0	0	0%
Quitman	Georgia	3	0	1	0	33.3%
Long	Georgia	2	0	0	0	0%
Treutlen	Georgia	2	0	0	0	0%
Montgomery	Georgia	2	0	0	0	0%
Prince Georges	Maryland	4,141	0	150	0	3.6%
Montgomery	Maryland	3,060	0	139	0	4.5%
Baltimore	Maryland	2,132	0	71	0	3.3%
Baltimore City	Maryland	1,672	0	66	0	3.9%
Anne Arundel	Maryland	1,294	0	61	0	4.7%
Frederick	Maryland	690	0	36	0	5.2%
Howard	Maryland	618	0	15	0	2.4%
Charles	Maryland	442	0	32	0	7.2%
Carroll	Maryland	355	0	34	0	9.6%
Harford	Maryland	280	0	8	0	2.9%
Wicomico	Maryland	203	0	3	0	1.5%
Cecil	Maryland	140	0	5	0	3.6%
Washington	Maryland	139	0	3	0	2.2%
Calvert	Maryland	121	0	6	0	5%
St. Mary\'s	Maryland	115	0	4	0	3.5%
Allegany	Maryland	77	0	3	0	3.9%
Kent	Maryland	64	0	1	0	1.6%
Caroline	Maryland	50	0	0	0	0%
Worcester	Maryland	39	0	0	0	0%
Queen Annes	Maryland	33	0	2	0	6.1%
Dorchester	Maryland	31	0	2	0	6.5%
Talbot	Maryland	25	0	1	0	4%
Somerset	Maryland	12	0	0	0	0%
Garrett	Maryland	4	0	0	0	0%
Unassigned	Maryland	0	0	106	0	0%
Marion	Ohio	2,161	0	3	0	0.1%
Cuyahoga	Ohio	1,768	0	83	0	4.7%
Franklin	Ohio	1,673	0	46	0	2.7%
Pickaway	Ohio	1,661	0	5	0	0.3%
Lucas	Ohio	936	0	55	0	5.9%
Hamilton	Ohio	868	0	47	0	5.4%
Mahoning	Ohio	666	0	62	0	9.3%
Summit	Ohio	447	0	32	0	7.2%
Lorain	Ohio	344	0	19	0	5.5%
Stark	Ohio	290	0	30	0	10.3%
Trumbull	Ohio	272	0	22	0	8.1%
Montgomery	Ohio	250	0	12	0	4.8%
Columbiana	Ohio	208	0	16	0	7.7%
Portage	Ohio	206	0	31	0	15%
Butler	Ohio	201	0	4	0	2%
Lake	Ohio	148	0	6	0	4.1%
Medina	Ohio	148	0	13	0	8.8%
Miami	Ohio	134	0	23	0	17.2%
Delaware	Ohio	132	0	3	0	2.3%
Warren	Ohio	124	0	10	0	8.1%
Geauga	Ohio	119	0	9	0	7.6%
Fairfield	Ohio	109	0	2	0	1.8%
Wood	Ohio	105	0	15	0	14.3%
Licking	Ohio	104	0	4	0	3.8%
Allen	Ohio	100	0	14	0	14%
Ashtabula	Ohio	98	0	7	0	7.1%
Belmont	Ohio	95	0	6	0	6.3%
Wayne	Ohio	88	0	18	0	20.5%
Clermont	Ohio	76	0	2	0	2.6%
Washington	Ohio	75	0	8	0	10.7%
Richland	Ohio	70	0	1	0	1.4%
Darke	Ohio	62	0	12	0	19.4%
Putnam	Ohio	47	0	3	0	6.4%
Erie	Ohio	43	0	3	0	7%
Tuscarawas	Ohio	42	0	0	0	0%
Greene	Ohio	40	0	3	0	7.5%
Madison	Ohio	38	0	3	0	7.9%
Crawford	Ohio	37	0	0	0	0%
Ottawa	Ohio	34	0	0	0	0%
Jefferson	Ohio	33	0	1	0	3%
Hancock	Ohio	32	0	1	0	3.1%
Ross	Ohio	30	0	1	0	3.3%
Shelby	Ohio	30	0	0	0	0%
Auglaize	Ohio	29	0	3	0	10.3%
Clark	Ohio	29	0	1	0	3.4%
Clinton	Ohio	27	0	0	0	0%
Morrow	Ohio	25	0	0	0	0%
Preble	Ohio	25	0	1	0	4%
Huron	Ohio	24	0	1	0	4.2%
Williams	Ohio	23	0	1	0	4.3%
Lawrence	Ohio	22	0	0	0	0%
Wyandot	Ohio	21	0	2	0	9.5%
Sandusky	Ohio	20	0	2	0	10%
Hardin	Ohio	20	0	0	0	0%
Carroll	Ohio	18	0	0	0	0%
Fulton	Ohio	18	0	0	0	0%
Defiance	Ohio	17	0	1	0	5.9%
Coshocton	Ohio	16	0	0	0	0%
Mercer	Ohio	16	0	1	0	6.3%
Union	Ohio	16	0	0	0	0%
Logan	Ohio	15	0	0	0	0%
Guernsey	Ohio	15	0	0	0	0%
Knox	Ohio	14	0	1	0	7.1%
Fayette	Ohio	13	0	0	0	0%
Brown	Ohio	11	0	1	0	9.1%
Perry	Ohio	11	0	0	0	0%
Seneca	Ohio	11	0	1	0	9.1%
Muskingum	Ohio	10	0	0	0	0%
Champaign	Ohio	8	0	1	0	12.5%
Highland	Ohio	8	0	0	0	0%
Paulding	Ohio	7	0	0	0	0%
Gallia	Ohio	6	0	1	0	16.7%
Scioto	Ohio	6	0	0	0	0%
Ashland	Ohio	5	0	0	0	0%
Holmes	Ohio	5	0	1	0	20%
Hocking	Ohio	5	0	1	0	20%
Athens	Ohio	4	0	1	0	25%
Adams	Ohio	4	0	0	0	0%
Morgan	Ohio	4	0	0	0	0%
Henry	Ohio	4	0	0	0	0%
Jackson	Ohio	4	0	0	0	0%
Van Wert	Ohio	3	0	0	0	0%
Noble	Ohio	3	0	0	0	0%
Pike	Ohio	2	0	0	0	0%
Monroe	Ohio	2	0	0	0	0%
Meigs	Ohio	2	0	0	0	0%
Harrison	Ohio	2	0	0	0	0%
Unassigned	Ohio	0	0	0	0	0%
Marion	Indiana	4,408	0	228	0	5.2%
Lake	Indiana	1,346	0	61	0	4.5%
Hamilton	Indiana	645	0	42	0	6.5%
Hendricks	Indiana	565	0	25	0	4.4%
Johnson	Indiana	478	0	43	0	9%
St. Joseph	Indiana	475	0	10	0	2.1%
Allen	Indiana	387	0	23	0	5.9%
Madison	Indiana	359	0	38	0	10.6%
Cass	Indiana	199	0	1	0	0.5%
Porter	Indiana	198	0	5	0	2.5%
Elkhart	Indiana	196	0	4	0	2%
Clark	Indiana	195	0	11	0	5.6%
Decatur	Indiana	182	0	22	0	12.1%
Boone	Indiana	172	0	19	0	11%
Bartholomew	Indiana	163	0	8	0	4.9%
Hancock	Indiana	160	0	7	0	4.4%
Floyd	Indiana	152	0	9	0	5.9%
LaPorte	Indiana	148	0	5	0	3.4%
Shelby	Indiana	145	0	6	0	4.1%
Delaware	Indiana	126	0	10	0	7.9%
Morgan	Indiana	125	0	4	0	3.2%
Monroe	Indiana	118	0	6	0	5.1%
Harrison	Indiana	108	0	4	0	3.7%
Vanderburgh	Indiana	104	0	1	0	1%
Grant	Indiana	102	0	5	0	4.9%
Jackson	Indiana	100	0	0	0	0%
Franklin	Indiana	92	0	7	0	7.6%
Ripley	Indiana	87	0	5	0	5.7%
Lawrence	Indiana	86	0	9	0	10.5%
Warrick	Indiana	77	0	9	0	11.7%
Howard	Indiana	76	0	4	0	5.3%
Dearborn	Indiana	75	0	5	0	6.7%
Jennings	Indiana	67	0	1	0	1.5%
Tippecanoe	Indiana	62	0	2	0	3.2%
Vigo	Indiana	60	0	5	0	8.3%
Putnam	Indiana	54	0	4	0	7.4%
Noble	Indiana	47	0	4	0	8.5%
Greene	Indiana	44	0	4	0	9.1%
Newton	Indiana	40	0	5	0	12.5%
Orange	Indiana	39	0	4	0	10.3%
Daviess	Indiana	38	0	7	0	18.4%
Washington	Indiana	33	0	0	0	0%
Miami	Indiana	31	0	0	0	0%
Henry	Indiana	30	0	1	0	3.3%
Wayne	Indiana	30	0	2	0	6.7%
Montgomery	Indiana	29	0	0	0	0%
Scott	Indiana	28	0	2	0	7.1%
Jasper	Indiana	27	0	1	0	3.7%
Clinton	Indiana	25	0	1	0	4%
Marshall	Indiana	25	0	1	0	4%
Kosciusko	Indiana	24	0	1	0	4.2%
Fayette	Indiana	22	0	4	0	18.2%
Jefferson	Indiana	22	0	0	0	0%
Owen	Indiana	22	0	1	0	4.5%
Rush	Indiana	21	0	1	0	4.8%
Clay	Indiana	19	0	1	0	5.3%
LaGrange	Indiana	19	0	1	0	5.3%
Knox	Indiana	18	0	0	0	0%
Steuben	Indiana	18	0	1	0	5.6%
Dubois	Indiana	16	0	0	0	0%
Whitley	Indiana	16	0	1	0	6.3%
Brown	Indiana	15	0	1	0	6.7%
Crawford	Indiana	14	0	0	0	0%
DeKalb	Indiana	14	0	1	0	7.1%
Randolph	Indiana	14	0	2	0	14.3%
Switzerland	Indiana	14	0	0	0	0%
Tipton	Indiana	14	0	1	0	7.1%
Starke	Indiana	13	0	1	0	7.7%
Wabash	Indiana	12	0	1	0	8.3%
White	Indiana	12	0	0	0	0%
Jay	Indiana	10	0	0	0	0%
Sullivan	Indiana	10	0	0	0	0%
Parke	Indiana	10	0	0	0	0%
Fountain	Indiana	8	0	2	0	25%
Posey	Indiana	8	0	0	0	0%
Warren	Indiana	8	0	1	0	12.5%
Adams	Indiana	7	0	1	0	14.3%
Carroll	Indiana	7	0	1	0	14.3%
Fulton	Indiana	7	0	0	0	0%
Vermillion	Indiana	7	0	0	0	0%
Benton	Indiana	6	0	0	0	0%
Gibson	Indiana	6	0	0	0	0%
Huntington	Indiana	6	0	2	0	33.3%
Blackford	Indiana	6	0	1	0	16.7%
Martin	Indiana	6	0	0	0	0%
Union	Indiana	6	0	0	0	0%
Perry	Indiana	6	0	0	0	0%
Wells	Indiana	5	0	0	0	0%
Spencer	Indiana	5	0	0	0	0%
Pulaski	Indiana	4	0	0	0	0%
Ohio	Indiana	3	0	0	0	0%
Pike	Indiana	1	0	0	0	0%
Unassigned	Indiana	0	0	0	0	0%
King	Washington	5,532	0	385	0	7%
Snohomish	Washington	2,240	0	101	0	4.5%
Pierce	Washington	1,262	0	44	0	3.5%
Yakima	Washington	952	0	42	0	4.4%
Benton and Franklin	Washington	763	0	42	0	5.5%
Spokane	Washington	322	0	19	0	5.9%
Clark	Washington	321	0	17	0	5.3%
Whatcom	Washington	282	0	27	0	9.6%
Skagit	Washington	280	0	10	0	3.6%
Island	Washington	168	0	9	0	5.4%
Grant	Washington	155	0	2	0	1.3%
Kitsap	Washington	144	0	2	0	1.4%
Thurston	Washington	96	0	1	0	1%
Chelan	Washington	91	0	5	0	5.5%
Douglas	Washington	63	0	1	0	1.6%
Walla Walla	Washington	51	0	0	0	0%
Adams	Washington	45	0	0	0	0%
Cowlitz	Washington	35	0	0	0	0%
Jefferson	Washington	28	0	0	0	0%
Lewis	Washington	22	0	3	0	13.6%
Mason	Washington	22	0	0	0	0%
Klickitat	Washington	16	0	3	0	18.8%
Okanogan	Washington	16	0	0	0	0%
Asotin	Washington	16	0	0	0	0%
San Juan	Washington	15	0	0	0	0%
Clallam	Washington	14	0	0	0	0%
Kittitas	Washington	14	0	0	0	0%
Whitman	Washington	13	0	0	0	0%
Grays Harbor	Washington	12	0	0	0	0%
Stevens	Washington	9	0	1	0	11.1%
Pacific	Washington	4	0	0	0	0%
Skamania	Washington	3	0	0	0	0%
Lincoln	Washington	2	0	0	0	0%
Wahkiakum	Washington	2	0	0	0	0%
Pend Oreille	Washington	2	0	0	0	0%
Columbia	Washington	1	0	0	0	0%
Ferry	Washington	1	0	0	0	0%
Unassigned	Washington	0	0	0	0	0%
Denver	Colorado	2,172	0	98	0	4.5%
Arapahoe	Colorado	1,824	0	101	0	5.5%
Weld	Colorado	1,263	0	70	0	5.5%
Adams	Colorado	1,082	0	50	0	4.6%
Jefferson	Colorado	1,075	0	53	0	4.9%
El Paso	Colorado	798	0	55	0	6.9%
Eagle	Colorado	489	0	7	0	1.4%
Boulder	Colorado	426	0	25	0	5.9%
Douglas	Colorado	399	0	18	0	4.5%
Larimer	Colorado	274	0	15	0	5.5%
Morgan	Colorado	214	0	8	0	3.7%
Gunnison	Colorado	121	0	4	0	3.3%
Broomfield	Colorado	113	0	4	0	3.5%
Pueblo	Colorado	108	0	7	0	6.5%
Unassigned	Colorado	108	0	1	0	0.9%
Summit	Colorado	105	0	1	0	1%
Montrose	Colorado	82	0	9	0	11%
Garfield	Colorado	74	0	2	0	2.7%
Pitkin	Colorado	57	0	2	0	3.5%
Chaffee	Colorado	55	0	5	0	9.1%
La Plata	Colorado	55	0	0	0	0%
Routt	Colorado	52	0	2	0	3.8%
Mesa	Colorado	37	0	0	0	0%
Elbert	Colorado	26	0	1	0	3.8%
Delta	Colorado	25	0	1	0	4%
Teller	Colorado	25	0	2	0	8%
Logan	Colorado	24	0	1	0	4.2%
Fremont	Colorado	19	0	0	0	0%
Kit Carson	Colorado	18	0	1	0	5.6%
San Miguel	Colorado	17	0	0	0	0%
Montezuma	Colorado	15	0	2	0	13.3%
Clear Creek	Colorado	12	0	1	0	8.3%
Baca	Colorado	10	0	0	0	0%
Lake	Colorado	10	0	0	0	0%
Alamosa	Colorado	9	0	2	0	22.2%
Archuleta	Colorado	8	0	0	0	0%
Otero	Colorado	7	0	0	0	0%
Rio Grande	Colorado	7	0	0	0	0%
Moffat	Colorado	6	0	0	0	0%
Park	Colorado	6	0	0	0	0%
Washington	Colorado	6	0	0	0	0%
Grand	Colorado	5	0	0	0	0%
Philips	Colorado	5	0	0	0	0%
Yuma	Colorado	5	0	0	0	0%
Ouray	Colorado	5	0	1	0	20%
Costilla	Colorado	3	0	0	0	0%
Hinsdale	Colorado	3	0	0	0	0%
Lincoln	Colorado	3	0	0	0	0%
Saguache	Colorado	3	0	0	0	0%
Las Animas	Colorado	3	0	0	0	0%
Crowley	Colorado	2	0	1	0	50%
Mineral	Colorado	2	0	0	0	0%
Custer	Colorado	2	0	0	0	0%
Huerfano	Colorado	1	0	0	0	0%
Rio Blanco	Colorado	1	0	0	0	0%
Prowers	Colorado	1	0	0	0	0%
Gilpin	Colorado	1	0	0	0	0%
Fairfax	Virginia	2,362	0	76	0	3.2%
Prince William	Virginia	1,027	0	18	0	1.8%
Henrico	Virginia	718	0	83	0	11.6%
Arlington	Virginia	686	0	24	0	3.5%
Alexandria	Virginia	512	0	14	0	2.7%
Loudoun	Virginia	498	0	10	0	2%
Chesterfield	Virginia	402	0	7	0	1.7%
Harrisonburg	Virginia	346	0	8	0	2.3%
Virginia Beach	Virginia	328	0	8	0	2.4%
Richmond City	Virginia	259	0	13	0	5%
Chesapeake	Virginia	186	0	5	0	2.7%
Stafford	Virginia	180	0	2	0	1.1%
Rockingham	Virginia	163	0	1	0	0.6%
James City	Virginia	149	0	12	0	8.1%
Norfolk	Virginia	136	0	3	0	2.2%
Suffolk	Virginia	136	0	3	0	2.2%
Manassas City	Virginia	127	0	1	0	0.8%
Newport News	Virginia	105	0	6	0	5.7%
Hampton	Virginia	99	0	1	0	1%
Hanover	Virginia	99	0	7	0	7.1%
Portsmouth	Virginia	98	0	4	0	4.1%
Spotsylvania	Virginia	94	0	3	0	3.2%
Isle of Wight	Virginia	91	0	2	0	2.2%
Frederick	Virginia	87	0	0	0	0%
Culpeper	Virginia	84	0	1	0	1.2%
Accomack	Virginia	76	0	2	0	2.6%
Fluvanna	Virginia	72	0	4	0	5.6%
Albemarle	Virginia	71	0	3	0	4.2%
Mecklenburg	Virginia	71	0	1	0	1.4%
Southampton	Virginia	71	0	1	0	1.4%
Richmond	Virginia	66	0	0	0	0%
Fauquier	Virginia	64	0	1	0	1.6%
Goochland	Virginia	63	0	3	0	4.8%
Shenandoah	Virginia	58	0	0	0	0%
Montgomery	Virginia	50	0	0	0	0%
Lynchburg	Virginia	47	0	1	0	2.1%
Charlottesville	Virginia	44	0	2	0	4.5%
York	Virginia	43	0	1	0	2.3%
Colonial Heights	Virginia	41	0	2	0	4.9%
Louisa	Virginia	38	0	0	0	0%
Manassas Park	Virginia	38	0	1	0	2.6%
Roanoke	Virginia	34	0	0	0	0%
Augusta	Virginia	33	0	1	0	3%
Buckingham	Virginia	31	0	0	0	0%
Danville	Virginia	31	0	1	0	3.2%
Greensville	Virginia	30	0	4	0	13.3%
Warren	Virginia	30	0	0	0	0%
Washington	Virginia	30	0	3	0	10%
