County	State	Comfired	New	Death	County_deaths_new	Fatality_ratio
Gunnison	Colorado 	66	9	1	0	1.5%
Pitkin	Colorado 	25	2	0	0	0%
Garfield	Colorado 	16	0	0	0	0%
Summit	Colorado 	13	4	0	0	0%
Broomfield	Colorado 	13	3	0	0	0%
La Plata	Colorado 	13	8	0	0	0%
Routt	Colorado 	12	3	0	0	0%
Mesa	Colorado 	7	1	0	0	0%
Teller	Colorado 	7	0	1	0	14.3%
Pueblo	Colorado 	6	3	1	0	16.7%
Montrose	Colorado 	6	2	0	0	0%
Chaffee	Colorado 	5	0	1	0	20%
Morgan	Colorado 	4	1	0	0	0%
Clear Creek	Colorado 	3	0	0	0	0%
Elbert	Colorado 	3	0	0	0	0%
Logan	Colorado 	3	1	0	0	0%
Grand	Colorado 	2	0	0	0	0%
Yuma	Colorado 	2	0	0	0	0%
Delta	Colorado 	2	1	0	0	0%
Otero	Colorado 	2	1	0	0	0%
Kit Carson	Colorado 	2	1	0	0	0%
Rio Grande	Colorado 	2	0	0	0	0%
Crowley	Colorado 	1	0	1	0	100%
Park	Colorado 	1	0	0	0	0%
Hinsdale	Colorado 	1	0	0	0	0%
San Miguel	Colorado 	1	0	0	0	0%
Fremont	Colorado 	1	0	0	0	0%
Huerfano	Colorado 	1	0	0	0	0%
Washington	Colorado 	1	0	0	0	0%
Baca	Colorado 	1	1	0	0	0%
Alamosa	Colorado 	1	1	0	0	0%
Costilla	Colorado 	1	1	0	0	0%
Lincoln	Colorado 	1	1	0	0	0%
Davidson	Tennessee	312	19	2	0	0.6%
Shelby	Tennessee	223	25	0	0	0%
Unassigned	Tennessee	172	60	3	3	1.7%
Out-of-state	Tennessee	141	24	0	0	0%
Williamson	Tennessee	91	21	0	0	0%
Sumner	Tennessee	58	15	0	0	0%
Rutherford	Tennessee	39	12	0	0	0%
Knox	Tennessee	31	5	0	0	0%
Hamilton	Tennessee	30	0	1	0	3.3%
Robertson	Tennessee	22	2	0	0	0%
Wilson	Tennessee	20	7	0	0	0%
Putnam	Tennessee	13	2	0	0	0%
Washington	Tennessee	10	1	0	0	0%
Tipton	Tennessee	10	2	0	0	0%
Montgomery	Tennessee	9	3	0	0	0%
Dickson	Tennessee	9	2	0	0	0%
Greene	Tennessee	8	0	0	0	0%
Cheatham	Tennessee	7	0	0	0	0%
Maury	Tennessee	7	0	0	0	0%
Sullivan	Tennessee	6	2	0	0	0%
Sevier	Tennessee	6	3	0	0	0%
Cumberland	Tennessee	6	0	0	0	0%
Bradley	Tennessee	6	1	0	0	0%
Blount	Tennessee	6	2	0	0	0%
Loudon	Tennessee	6	0	0	0	0%
Jefferson	Tennessee	5	1	0	0	0%
Campbell	Tennessee	4	2	0	0	0%
Carroll	Tennessee	4	1	0	0	0%
Anderson	Tennessee	4	1	0	0	0%
Fayette	Tennessee	3	0	0	0	0%
Dyer	Tennessee	3	0	0	0	0%
McMinn	Tennessee	3	0	0	0	0%
Franklin	Tennessee	3	1	0	0	0%
Dekalb	Tennessee	3	1	0	0	0%
Madison	Tennessee	3	1	0	0	0%
Hamblen	Tennessee	2	0	0	0	0%
Gibson	Tennessee	2	0	0	0	0%
Monroe	Tennessee	2	0	0	0	0%
Scott	Tennessee	2	1	0	0	0%
Chester	Tennessee	2	0	0	0	0%
Houston	Tennessee	2	0	0	0	0%
Marion	Tennessee	2	0	0	0	0%
Perry	Tennessee	2	1	0	0	0%
Claiborne	Tennessee	2	0	0	0	0%
Hawkins	Tennessee	2	1	0	0	0%
Lewis	Tennessee	2	0	0	0	0%
Benton	Tennessee	2	1	0	0	0%
Cannon	Tennessee	2	1	0	0	0%
Cocke	Tennessee	1	0	0	0	0%
Roane	Tennessee	1	0	0	0	0%
Grundy	Tennessee	1	0	0	0	0%
Hardin	Tennessee	1	0	0	0	0%
Lincoln	Tennessee	1	0	0	0	0%
Overton	Tennessee	1	0	0	0	0%
Bedford	Tennessee	1	0	0	0	0%
White	Tennessee	1	0	0	0	0%
Macon	Tennessee	1	0	0	0	0%
Meigs	Tennessee	1	0	0	0	0%
Smith	Tennessee	1	1	0	0	0%
Unicoi	Tennessee	1	1	0	0	0%
Fairfield	Connecticut	752	145	15	2	2%
New Haven	Connecticut	222	66	6	4	2.7%
Hartford	Connecticut	189	51	2	0	1.1%
Litchfield	Connecticut	52	8	0	0	0%
Tolland	Connecticut	33	0	3	0	9.1%
Middlesex	Connecticut	25	7	1	0	4%
New London	Connecticut	15	2	0	0	0%
Windham	Connecticut	3	0	0	0	0%
Cuyahoga	Ohio	330	71	2	0	0.6%
Franklin	Ohio	152	43	2	0	1.3%
Mahoning	Ohio	68	17	2	1	2.9%
Summit	Ohio	65	15	1	1	1.5%
Hamilton	Ohio	63	10	0	0	0%
Lorain	Ohio	56	12	0	0	0%
Lucas	Ohio	50	15	2	0	4%
Medina	Ohio	32	8	0	0	0%
Miami	Ohio	32	12	4	2	12.5%
Lake	Ohio	27	8	0	0	0%
Butler	Ohio	23	2	0	0	0%
Stark	Ohio	22	6	2	0	9.1%
Delaware	Ohio	20	5	0	0	0%
Montgomery	Ohio	19	5	0	0	0%
Trumbull	Ohio	17	5	1	0	5.9%
Portage	Ohio	13	5	0	0	0%
Warren	Ohio	11	1	0	0	0%
Geauga	Ohio	10	3	0	0	0%
Licking	Ohio	10	5	0	0	0%
Wood	Ohio	8	2	0	0	0%
Fairfield	Ohio	8	2	0	0	0%
Columbiana	Ohio	7	2	1	0	14.3%
Belmont	Ohio	6	3	0	0	0%
Clermont	Ohio	6	0	0	0	0%
Marion	Ohio	5	1	0	0	0%
Ashtabula	Ohio	5	2	0	0	0%
Defiance	Ohio	5	3	0	0	0%
Coshocton	Ohio	4	0	0	0	0%
Richland	Ohio	4	0	0	0	0%
Tuscarawas	Ohio	3	0	0	0	0%
Huron	Ohio	3	0	0	0	0%
Ashland	Ohio	3	2	0	0	0%
Union	Ohio	3	0	0	0	0%
Erie	Ohio	3	0	1	0	33.3%
Madison	Ohio	3	0	0	0	0%
Carroll	Ohio	3	0	0	0	0%
Greene	Ohio	3	0	0	0	0%
Wayne	Ohio	3	1	0	0	0%
Clark	Ohio	2	0	0	0	0%
Clinton	Ohio	2	0	0	0	0%
Hancock	Ohio	2	0	0	0	0%
Washington	Ohio	2	1	0	0	0%
Knox	Ohio	2	0	0	0	0%
Logan	Ohio	2	0	0	0	0%
Champaign	Ohio	2	0	0	0	0%
Mercer	Ohio	2	1	0	0	0%
Pickaway	Ohio	2	0	0	0	0%
Muskingum	Ohio	2	1	0	0	0%
Fulton	Ohio	2	0	0	0	0%
Darke	Ohio	1	0	0	0	0%
Gallia	Ohio	1	0	1	0	100%
Highland	Ohio	1	0	0	0	0%
Sandusky	Ohio	1	0	0	0	0%
Crawford	Ohio	1	0	0	0	0%
Seneca	Ohio	1	0	0	0	0%
Fayette	Ohio	1	0	0	0	0%
Lawrence	Ohio	1	0	0	0	0%
Jefferson	Ohio	1	0	0	0	0%
Athens	Ohio	1	0	0	0	0%
Shelby	Ohio	1	0	0	0	0%
Wyandot	Ohio	1	0	0	0	0%
Marion	Indiana	484	191	8	2	1.7%
Hamilton	Indiana	52	12	0	0	0%
Lake	Indiana	47	16	0	0	0%
Johnson	Indiana	42	6	3	0	7.1%
Hendricks	Indiana	28	7	2	2	7.1%
St. Joseph	Indiana	27	6	1	1	3.7%
Decatur	Indiana	26	13	0	0	0%
Franklin	Indiana	21	8	1	0	4.8%
Allen	Indiana	21	2	1	0	4.8%
Ripley	Indiana	14	3	0	0	0%
Hancock	Indiana	13	4	1	0	7.7%
Clark	Indiana	12	2	0	0	0%
Floyd	Indiana	11	4	0	0	0%
Morgan	Indiana	10	3	0	0	0%
Elkhart	Indiana	9	2	0	0	0%
Tippecanoe	Indiana	8	0	1	1	12.5%
Delaware	Indiana	8	1	1	0	12.5%
Monroe	Indiana	8	2	0	0	0%
Boone	Indiana	7	0	0	0	0%
Howard	Indiana	7	1	1	0	14.3%
Madison	Indiana	7	3	1	0	14.3%
Bartholomew	Indiana	6	0	0	0	0%
Vanderburgh	Indiana	6	2	0	0	0%
Shelby	Indiana	6	4	0	0	0%
Porter	Indiana	6	1	0	0	0%
Jennings	Indiana	5	1	0	0	0%
Owen	Indiana	5	1	0	0	0%
Grant	Indiana	5	2	0	0	0%
Lawrence	Indiana	5	3	0	0	0%
Washington	Indiana	4	1	0	0	0%
Dearborn	Indiana	4	1	1	0	25%
Jackson	Indiana	4	2	0	0	0%
Jasper	Indiana	4	1	1	0	25%
Harrison	Indiana	4	2	0	0	0%
Marshall	Indiana	4	3	0	0	0%
Fayette	Indiana	3	0	0	0	0%
Vigo	Indiana	3	0	0	0	0%
Gibson	Indiana	3	0	0	0	0%
Montgomery	Indiana	3	1	0	0	0%
Rush	Indiana	3	2	0	0	0%
Warrick	Indiana	3	0	0	0	0%
LaPorte	Indiana	2	0	0	0	0%
Tipton	Indiana	2	0	0	0	0%
Putnam	Indiana	2	0	1	0	50%
Brown	Indiana	2	1	0	0	0%
LaGrange	Indiana	2	2	0	0	0%
Noble	Indiana	1	0	0	0	0%
Adams	Indiana	1	0	0	0	0%
Wells	Indiana	1	0	0	0	0%
Scott	Indiana	1	0	1	0	100%
Miami	Indiana	1	0	0	0	0%
Dubois	Indiana	1	0	0	0	0%
Starke	Indiana	1	0	0	0	0%
Ohio	Indiana	1	0	0	0	0%
DeKalb	Indiana	1	0	0	0	0%
Sullivan	Indiana	1	0	0	0	0%
Orange	Indiana	1	0	0	0	0%
Warren	Indiana	1	0	0	0	0%
Wayne	Indiana	1	0	0	0	0%
Fountain	Indiana	1	0	0	0	0%
Posey	Indiana	1	0	0	0	0%
Wabash	Indiana	1	0	0	0	0%
Caroll	Indiana	1	1	0	0	0%
Clinton	Indiana	1	1	0	0	0%
Fulton	Indiana	1	1	0	0	0%
Henry	Indiana	1	1	0	0	0%
Huntington	Indiana	1	1	0	0	0%
Kosciusko	Indiana	1	1	0	0	0%
Whitlty	Indiana	1	1	0	0	0%
Milwaukee	Wisconsin	411	64	8	0	1.9%
Dane	Wisconsin	158	24	1	0	0.6%
Waukesha	Wisconsin	61	5	0	0	0%
Unassigned	Wisconsin	61	61	0	0	0%
Ozaukee	Wisconsin	30	8	3	2	10%
Washington	Wisconsin	27	2	0	0	0%
Kenosha	Wisconsin	23	4	0	0	0%
Fond du Lac	Wisconsin	18	1	1	0	5.6%
La Crosse	Wisconsin	14	2	0	0	0%
Rock	Wisconsin	12	4	0	0	0%
Racine	Wisconsin	9	1	0	0	0%
Sauk	Wisconsin	8	1	0	0	0%
Sheboygan	Wisconsin	7	0	0	0	0%
Eau Claire	Wisconsin	7	1	0	0	0%
Winnebago	Wisconsin	6	0	0	0	0%
Columbia	Wisconsin	6	1	0	0	0%
Jefferson	Wisconsin	6	1	0	0	0%
Dodge	Wisconsin	6	3	0	0	0%
Brown	Wisconsin	5	1	0	0	0%
Walworth	Wisconsin	5	0	0	0	0%
Douglas	Wisconsin	5	1	0	0	0%
Pierce	Wisconsin	4	1	0	0	0%
Outagamie	Wisconsin	4	0	0	0	0%
St. Croix	Wisconsin	4	0	0	0	0%
Chippewa	Wisconsin	3	2	0	0	0%
Green	Wisconsin	3	2	0	0	0%
Iowa	Wisconsin	3	0	0	0	0%
Wood	Wisconsin	2	1	0	0	0%
Bayfield	Wisconsin	2	1	0	0	0%
Dunn	Wisconsin	2	1	0	0	0%
Clark	Wisconsin	2	1	0	0	0%
Vilas	Wisconsin	2	1	0	0	0%
Juneau	Wisconsin	2	1	0	0	0%
Calumet	Wisconsin	1	0	0	0	0%
Marathon	Wisconsin	1	0	0	0	0%
Grant	Wisconsin	1	0	0	0	0%
Monroe	Wisconsin	1	0	0	0	0%
Portage	Wisconsin	1	0	0	0	0%
Waupaca	Wisconsin	1	0	0	0	0%
Marinette	Wisconsin	1	1	0	0	0%
Iron	Wisconsin	1	1	1	0	100%
Mecklenburg	North Carolina	259	55	0	0	0%
Wake	North Carolina	123	18	0	0	0%
Durham	North Carolina	103	0	0	0	0%
Union	North Carolina	34	7	0	0	0%
Guilford	North Carolina	31	7	0	0	0%
Forsyth	North Carolina	24	7	0	0	0%
Orange	North Carolina	24	8	0	0	0%
Cabarrus	North Carolina	22	0	2	0	9.1%
Buncombe	North Carolina	17	2	0	0	0%
Gaston	North Carolina	16	5	0	0	0%
Iredell	North Carolina	15	2	0	0	0%
New Hanover	North Carolina	15	0	0	0	0%
Brunswick	North Carolina	12	0	0	0	0%
Rowan	North Carolina	12	0	1	1	8.3%
Davidson	North Carolina	12	8	0	0	0%
Chatham	North Carolina	11	2	0	0	0%
Harnett	North Carolina	11	0	1	0	9.1%
Catawba	North Carolina	10	1	0	0	0%
Johnston	North Carolina	9	0	1	1	11.1%
Randolph	North Carolina	9	3	0	0	0%
Pitt	North Carolina	8	0	0	0	0%
Cumberland	North Carolina	8	0	0	0	0%
Wilson	North Carolina	7	0	0	0	0%
Henderson	North Carolina	7	1	0	0	0%
Carteret	North Carolina	6	1	0	0	0%
Watauga	North Carolina	5	1	0	0	0%
Moore	North Carolina	5	2	0	0	0%
Alamance	North Carolina	5	1	0	0	0%
Franklin	North Carolina	5	0	0	0	0%
Onslow	North Carolina	4	0	0	0	0%
Craven	North Carolina	4	1	0	0	0%
Cherokee	North Carolina	4	0	0	0	0%
Nash	North Carolina	4	0	0	0	0%
Wayne	North Carolina	3	0	0	0	0%
Granville	North Carolina	3	2	0	0	0%
Montgomery	North Carolina	3	0	0	0	0%
Hertford	North Carolina	3	0	0	0	0%
Transylvania	North Carolina	3	1	0	0	0%
Northampton	North Carolina	3	0	0	0	0%
Bertie	North Carolina	3	0	0	0	0%
Lenoir	North Carolina	3	0	0	0	0%
Beaufort	North Carolina	3	0	0	0	0%
Caldwell	North Carolina	3	0	0	0	0%
Burke	North Carolina	3	1	0	0	0%
Cleveland	North Carolina	3	1	0	0	0%
Hoke	North Carolina	2	0	0	0	0%
Lee	North Carolina	2	0	0	0	0%
Robeson	North Carolina	2	0	0	0	0%
Davie	North Carolina	2	0	0	0	0%
Vance	North Carolina	2	0	0	0	0%
McDowell	North Carolina	2	0	0	0	0%
Dare	North Carolina	2	0	0	0	0%
Sampson	North Carolina	1	0	0	0	0%
Lincoln	North Carolina	1	0	0	0	0%
Pasquotank	North Carolina	1	0	0	0	0%
Stanley	North Carolina	1	0	0	0	0%
Hyde	North Carolina	1	0	0	0	0%
Scotland	North Carolina	1	0	0	0	0%
Jackson	North Carolina	1	0	0	0	0%
Duplin	North Carolina	1	0	0	0	0%
Person	North Carolina	1	0	0	0	0%
Surry	North Carolina	1	0	0	0	0%
Mitchell	North Carolina	1	0	0	0	0%
Polk	North Carolina	1	0	0	0	0%
Swain	North Carolina	1	1	0	0	0%
Halifax	North Carolina	1	1	0	0	0%
Montgomery	Maryland	208	44	1	0	0.5%
Prince George\'s	Maryland	148	47	2	0	1.4%
Baltimore	Maryland	103	22	1	0	1%
Baltimore City	Maryland	88	16	0	0	0%
Anne Arundel	Maryland	63	22	0	0	0%
Howard	Maryland	62	13	0	0	0%
Harford	Maryland	18	9	0	0	0%
Charles	Maryland	17	7	0	0	0%
Frederick	Maryland	15	1	0	0	0%
Carroll	Maryland	9	2	0	0	0%
Calvert	Maryland	9	2	0	0	0%
Cecil	Maryland	9	5	0	0	0%
Wicomico	Maryland	6	1	0	0	0%
Washington	Maryland	5	1	0	0	0%
St. Mary\'s	Maryland	4	0	0	0	0%
Garrett	Maryland	3	0	0	0	0%
Worcester	Maryland	2	0	0	0	0%
Queen Anne\'s	Maryland	2	0	0	0	0%
Kent	Maryland	2	1	0	0	0%
Talbot	Maryland	1	0	0	0	0%
Caroline	Maryland	1	0	0	0	0%
Somerset	Maryland	1	0	0	0	0%
Unassigned	Maryland	0	0	1	1	
St. Louis	Missouri	247	74	2	0	0.8%
Kansas City	Missouri	78	14	0	0	0%
St. Louis City	Missouri	72	3	1	0	1.4%
Boone	Missouri	42	5	1	0	2.4%
Greene	Missouri	41	16	3	0	7.3%
Jackson	Missouri	41	10	1	0	2.4%
St. Charles	Missouri	32	8	1	0	3.1%
Jefferson	Missouri	15	5	0	0	0%
Cole	Missouri	10	2	0	0	0%
Clay	Missouri	9	4	0	0	0%
Cass	Missouri	8	0	0	0	0%
Johnson	Missouri	8	0	0	0	0%
Perry	Missouri	6	2	0	0	0%
Platte	Missouri	5	0	0	0	0%
Cape Girardeau	Missouri	5	2	0	0	0%
Pulaski	Missouri	4	0	0	0	0%
St. Francois	Missouri	4	2	0	0	0%
Lafayette	Missouri	4	2	0	0	0%
Franklin	Missouri	4	0	0	0	0%
TBD	Missouri	4	0	0	0	0%
Dunklin	Missouri	3	1	0	0	0%
Jasper	Missouri	3	1	0	0	0%
Callaway	Missouri	3	1	0	0	0%
Christian	Missouri	3	1	0	0	0%
Montgomery	Missouri	3	1	0	0	0%
Newton	Missouri	3	0	0	0	0%
Moniteau	Missouri	2	0	0	0	0%
Lincoln	Missouri	2	1	0	0	0%
Buchanan	Missouri	2	2	0	0	0%
Henry	Missouri	1	0	0	0	0%
Scott	Missouri	1	0	0	0	0%
Adair	Missouri	1	0	0	0	0%
Bates	Missouri	1	0	0	0	0%
Camden	Missouri	1	0	0	0	0%
Clinton	Missouri	1	0	0	0	0%
Taney	Missouri	1	0	0	0	0%
Pemiscot	Missouri	1	0	0	0	0%
Randolph	Missouri	1	0	0	0	0%
Cooper	Missouri	1	0	0	0	0%
McDonald	Missouri	1	0	0	0	0%
Shelby	Missouri	1	0	0	0	0%
Ralls	Missouri	1	0	0	0	0%
Bollinger	Missouri	1	0	0	0	0%
Carter	Missouri	1	0	0	0	0%
Stoddard	Missouri	1	0	0	0	0%
Atchison	Missouri	1	0	0	0	0%
Benton	Missouri	1	0	0	0	0%
Wright	Missouri	1	1	0	0	0%
Chariton	Missouri	1	1	0	0	0%
Ray	Missouri	1	1	0	0	0%
Texas	Missouri	1	1	0	0	0%
Pettis	Missouri	1	1	0	0	0%
Maricopa	Arizona	399	100	5	1	1.3%
Pima	Arizona	102	27	4	3	3.9%
Navajo	Arizona	49	6	0	0	0%
Coconino	Arizona	41	13	2	0	4.9%
Pinal	Arizona	36	1	0	0	0%
Apache	Arizona	11	2	0	0	0%
Yavapai	Arizona	9	4	0	0	0%
Graham	Arizona	4	2	0	0	0%
Yuma	Arizona	4	0	0	0	0%
Mohave	Arizona	4	2	0	0	0%
Santa Cruz	Arizona	2	0	0	0	0%
Cochise	Arizona	2	0	0	0	0%
La Paz	Arizona	2	0	0	0	0%
Unassigned	Arizona	0	0	2	1	
Jefferson	Alabama	179	6	0	0	0%
Shelby	Alabama	69	16	0	0	0%
Madison	Alabama	60	17	1	1	1.7%
Lee	Alabama	51	4	0	0	0%
Walker	Alabama	24	6	0	0	0%
Mobile	Alabama	23	4	1	1	4.3%
Tuscaloosa	Alabama	22	2	0	0	0%
Montgomery	Alabama	18	1	0	0	0%
Limestone	Alabama	15	2	0	0	0%
Chambers	Alabama	15	2	0	0	0%
Elmore	Alabama	12	2	0	0	0%
Lauderdale	Alabama	11	2	1	0	9.1%
Morgan	Alabama	10	1	0	0	0%
St. Clair	Alabama	9	3	0	0	0%
Cullman	Alabama	7	1	0	0	0%
Marion	Alabama	7	0	0	0	0%
Chilton	Alabama	7	3	0	0	0%
Autauga	Alabama	6	0	0	0	0%
Baldwin	Alabama	5	0	0	0	0%
Jackson	Alabama	5	1	1	0	20%
Tallapoosa	Alabama	5	1	0	0	0%
Blount	Alabama	5	2	0	0	0%
Talladega	Alabama	4	0	0	0	0%
Pike	Alabama	4	2	0	0	0%
Marshall	Alabama	4	1	0	0	0%
Etowah	Alabama	4	0	0	0	0%
Calhoun	Alabama	3	1	0	0	0%
Franklin	Alabama	3	0	0	0	0%
Houston	Alabama	3	0	0	0	0%
Cleburne	Alabama	3	2	0	0	0%
DeKalb	Alabama	3	2	0	0	0%
Washington	Alabama	2	0	0	0	0%
Dallas	Alabama	2	0	0	0	0%
Wilcox	Alabama	2	0	0	0	0%
Lawrence	Alabama	2	0	0	0	0%
Marengo	Alabama	2	1	0	0	0%
Coosa	Alabama	2	0	0	0	0%
Bullock	Alabama	2	0	0	0	0%
Winston	Alabama	2	2	0	0	0%
Covington	Alabama	2	2	0	0	0%
Lamar	Alabama	1	0	0	0	0%
Pickens	Alabama	1	0	0	0	0%
Butler	Alabama	1	0	0	0	0%
Cherokee	Alabama	1	0	0	0	0%
Clay	Alabama	1	0	0	0	0%
Colbert	Alabama	1	0	0	0	0%
Russell	Alabama	1	0	0	0	0%
Lowndes	Alabama	1	0	0	0	0%
Choctaw	Alabama	1	0	0	0	0%
Crenshaw	Alabama	1	0	0	0	0%
Greene	Alabama	1	1	0	0	0%
Randolph	Alabama	1	1	0	0	0%
Escambia	Alabama	1	1	0	0	0%
Fairfax	Virginia	124	45	1	0	0.8%
Arlington	Virginia	63	9	0	0	0%
James City	Virginia	55	6	2	0	3.6%
Prince William	Virginia	44	8	0	0	0%
Loudoun	Virginia	43	15	1	0	2.3%
Virginia Beach	Virginia	29	3	1	0	3.4%
Henrico	Virginia	28	7	2	0	7.1%
Alexandria	Virginia	18	4	0	0	0%
Richmond City	Virginia	17	3	0	0	0%
Chesterfield	Virginia	12	0	0	0	0%
Newport News	Virginia	12	4	1	0	8.3%
Charlottesville	Virginia	11	2	0	0	0%
Stafford	Virginia	11	0	0	0	0%
York	Virginia	9	0	1	0	11.1%
Norfolk	Virginia	8	2	0	0	0%
Albemarle	Virginia	8	2	0	0	0%
Harrisonburg	Virginia	5	2	0	0	0%
Williamsburg	Virginia	5	0	1	0	20%
Chesapeake	Virginia	5	1	0	0	0%
Louisa	Virginia	5	1	0	0	0%
Hampton	Virginia	5	4	0	0	0%
Mecklenburg	Virginia	4	1	0	0	0%
Danville	Virginia	4	2	0	0	0%
Rockingham	Virginia	4	1	0	0	0%
Frederick	Virginia	4	2	0	0	0%
Fauquier	Virginia	4	3	0	0	0%
Spotsylvania	Virginia	3	0	0	0	0%
Goochland	Virginia	3	0	0	0	0%
Portsmouth	Virginia	3	0	0	0	0%
Gloucester	Virginia	3	1	0	0	0%
Bedford	Virginia	3	0	0	0	0%
Fluvanna	Virginia	3	0	0	0	0%
Manassas City	Virginia	3	0	0	0	0%
Shenandoah	Virginia	3	0	0	0	0%
Hanover	Virginia	2	0	0	0	0%
Prince Edward	Virginia	2	0	0	0	0%
Accomack	Virginia	2	0	0	0	0%
Rockbridge	Virginia	2	0	0	0	0%
Isle of Wight	Virginia	2	0	0	0	0%
Lee	Virginia	2	0	0	0	0%
Culpeper	Virginia	2	0	0	0	0%
Madison	Virginia	2	1	0	0	0%
Lynchburg	Virginia	2	0	0	0	0%
Warren	Virginia	2	1	0	0	0%
Northumberland	Virginia	2	0	0	0	0%
Prince George	Virginia	2	2	0	0	0%
Charles City	Virginia	1	0	0	0	0%
Botetourt	Virginia	1	0	0	0	0%
Suffolk	Virginia	1	0	0	0	0%
Franklin	Virginia	1	0	0	0	0%
Amherst	Virginia	1	0	0	0	0%
Halifax	Virginia	1	0	0	0	0%
Orange	Virginia	1	0	0	0	0%
Nelson	Virginia	1	0	0	0	0%
Radford	Virginia	1	0	0	0	0%
Fredericksburg	Virginia	1	0	0	0	0%
Mathews	Virginia	1	0	0	0	0%
Nottoway	Virginia	1	0	0	0	0%
Roanoke	Virginia	1	0	0	0	0%
Washington	Virginia	1	0	0	0	0%
Poquoson	Virginia	1	0	0	0	0%
Amelia	Virginia	1	0	0	0	0%
Pittsylvania	Virginia	1	0	0	0	0%
Southampton	Virginia	1	1	0	0	0%
Roanoke City	Virginia	1	1	0	0	0%
Northampton	Virginia	1	1	0	0	0%
King George	Virginia	1	1	0	0	0%
Galax	Virginia	1	1	0	0	0%
Greene	Virginia	1	1	0	0	0%
Bristol	Virginia	1	1	0	0	0%
Montgomery	Virginia	1	1	0	0	0%
Unknown	Virginia	0	0	4	0	
DeSoto	Mississippi	63	0	0	0	0%
Hinds	Mississippi	50	0	0	0	0%
Harrison	Mississippi	34	0	1	0	2.9%
Rankin	Mississippi	29	0	1	0	3.4%
Madison	Mississippi	25	0	0	0	0%
Jackson	Mississippi	24	0	0	0	0%
Pearl River	Mississippi	18	0	0	0	0%
Coahoma	Mississippi	18	0	0	0	0%
Forrest	Mississippi	16	0	0	0	0%
Tippah	Mississippi	15	0	1	0	6.7%
Lee	Mississippi	15	0	0	0	0%
Leflore	Mississippi	13	0	0	0	0%
Pike	Mississippi	12	0	0	0	0%
Oktibbeha	Mississippi	12	0	0	0	0%
Lafayette	Mississippi	11	0	0	0	0%
Washington	Mississippi	11	0	0	0	0%
Holmes	Mississippi	10	0	1	0	10%
Lauderdale	Mississippi	10	0	0	0	0%
Bolivar	Mississippi	9	0	0	0	0%
Hancock	Mississippi	9	0	1	0	11.1%
Wilkinson	Mississippi	9	0	1	0	11.1%
Marshall	Mississippi	9	0	0	0	0%
Lowndes	Mississippi	9	0	0	0	0%
Chickasaw	Mississippi	9	0	0	0	0%
Copiah	Mississippi	8	0	0	0	0%
Attala	Mississippi	8	0	0	0	0%
Tate	Mississippi	8	0	0	0	0%
Adams	Mississippi	6	0	0	0	0%
Lincoln	Mississippi	6	0	0	0	0%
Tunica	Mississippi	6	0	1	0	16.7%
Scott	Mississippi	6	0	0	0	0%
Lawrence	Mississippi	5	0	0	0	0%
Sunflower	Mississippi	5	0	0	0	0%
Walthall	Mississippi	4	0	0	0	0%
Yazoo	Mississippi	4	0	0	0	0%
Leake	Mississippi	4	0	0	0	0%
Panola	Mississippi	4	0	0	0	0%
Montgomery	Mississippi	4	0	0	0	0%
Pontotoc	Mississippi	4	0	0	0	0%
Lamar	Mississippi	4	0	0	0	0%
Choctaw	Mississippi	4	0	0	0	0%
Monroe	Mississippi	3	0	0	0	0%
Winston	Mississippi	3	0	0	0	0%
Webster	Mississippi	3	0	1	0	33.3%
Itawamba	Mississippi	3	0	0	0	0%
Union	Mississippi	3	0	0	0	0%
Calhoun	Mississippi	3	0	0	0	0%
Quitman	Mississippi	3	0	0	0	0%
Yalobusha	Mississippi	3	0	0	0	0%
Perry	Mississippi	2	0	0	0	0%
Franklin	Mississippi	2	0	0	0	0%
Clay	Mississippi	2	0	0	0	0%
Grenada	Mississippi	2	0	0	0	0%
Tallahatchie	Mississippi	2	0	0	0	0%
Benton	Mississippi	2	0	0	0	0%
Jones	Mississippi	1	0	0	0	0%
Smith	Mississippi	1	0	0	0	0%
Humphreys	Mississippi	1	0	0	0	0%
George	Mississippi	1	0	0	0	0%
Simpson	Mississippi	1	0	0	0	0%
Marion	Mississippi	1	0	0	0	0%
Newton	Mississippi	1	0	0	0	0%
Noxubee	Mississippi	1	0	0	0	0%
Prentiss	Mississippi	1	0	0	0	0%
Jefferson	Mississippi	1	0	0	0	0%
Kemper	Mississippi	1	0	0	0	0%
Neshoba	Mississippi	1	0	0	0	0%
Sharkey	Mississippi	1	0	0	0	0%
Amite	Mississippi	0	0	0	0	
Charleston	South Carolina	92	32	1	1	1.1%
Kershaw	South Carolina	70	6	2	1	2.9%
Richland	South Carolina	65	5	1	1	1.5%
Greenville	South Carolina	51	0	1	1	2%
Beaufort	South Carolina	35	6	0	0	0%
Lexington	South Carolina	25	5	1	0	4%
Horry	South Carolina	24	3	1	0	4.2%
Anderson	South Carolina	21	0	0	0	0%
York	South Carolina	19	0	0	0	0%
Spartanburg	South Carolina	16	7	0	0	0%
Orangeburg	South Carolina	12	1	0	0	0%
Florence	South Carolina	11	6	3	1	27.3%
Berkeley	South Carolina	10	2	0	0	0%
Sumter	South Carolina	10	0	2	0	20%
Dorchester	South Carolina	9	5	0	0	0%
Lancaster	South Carolina	8	1	0	0	0%
Darlington	South Carolina	8	0	0	0	0%
